,qn,err_type,err_value,prob,err
3564,2.0,I,0.31472299036386403,1,0
3565,2.0,I,0.018371479600821417,1,0
3566,2.0,I,0.24493750214535626,1,0
3567,2.0,I,0.6269958063079436,1,0
3568,2.0,I,0.8595470825106094,1,0
3569,2.0,I,0.3653322301988618,1,0
3570,2.0,I,0.20702379361208614,1,0
3571,2.0,I,0.2842156113600758,1,0
3572,2.0,I,0.6435154914835322,1,0
3573,2.0,I,0.018220789429085227,1,0
3574,2.0,I,0.0012059695355834954,1,0
3575,2.0,I,0.7134026061029832,1,0
3576,2.0,I,0.0649476777797533,1,0
3577,2.0,I,0.3339942187343178,1,0
3578,2.0,I,0.18269636651856688,1,0
3579,2.0,I,0.25832755235345906,1,0
3580,2.0,I,0.3615549389271801,1,0
3581,2.0,I,0.03712766363119624,1,0
3582,2.0,I,0.3905848740347753,1,0
3583,2.0,I,0.6666667026785541,1,0
3584,2.0,I,0.6047480330313663,1,0
3585,2.0,I,0.009177673329458402,1,0
3586,2.0,I,0.05142199395484737,1,0
3587,2.0,I,0.2345695384245029,1,0
3588,2.0,I,0.26727278801419385,1,0
3589,2.0,I,0.5727999343337955,1,0
3590,2.0,I,0.6334440148846863,1,0
3591,2.0,I,0.202394828217466,1,0
3592,2.0,I,0.119977636239049,1,0
3593,2.0,I,0.04517733526049061,1,0
3594,2.0,I,0.4947861399810826,1,0
3595,2.0,I,0.4744913426922494,1,0
3596,2.0,I,0.3649047577154735,1,0
3597,2.0,I,0.3862889310365648,1,0
3598,2.0,I,0.04958652810272757,1,0
3599,2.0,I,0.14255502936697514,1,0
3600,2.0,I,0.4226918590816047,1,0
3601,2.0,I,0.08512556761541468,1,0
3602,2.0,I,0.016043126175765088,1,0
3603,2.0,I,0.37447892408302413,1,0
3604,2.0,I,0.17220592514289146,1,0
3605,2.0,I,0.1520284357434275,1,0
3606,2.0,I,0.12670759115843322,1,0
3607,2.0,I,0.05554628572630108,1,0
3608,2.0,I,0.32257597176994,1,0
3609,2.0,I,0.3641140282805477,1,0
3610,2.0,I,0.6174566119632658,1,0
3611,2.0,I,0.3770357389720323,1,0
3612,2.0,I,0.337593989505606,1,0
3613,2.0,I,0.6888403766970309,1,0
3614,2.0,I,0.4408819543195615,1,0
3615,2.0,I,0.7371240098350023,1,0
3616,2.0,I,0.3336079791859232,1,0
3617,2.0,I,0.020004693534653728,1,0
3618,2.0,I,0.3754471217592836,1,0
3619,2.0,I,0.40601911472002455,1,0
3620,2.0,I,0.3744901929219442,1,0
3621,2.0,I,0.02997666431438695,1,0
3622,2.0,I,0.3654858927892042,1,0
3623,2.0,I,0.13565496923135434,1,0
3624,2.0,I,0.029122711056474463,1,0
3625,2.0,I,0.06678266444192467,1,0
3626,2.0,I,0.1565724312714778,1,0
3627,2.0,I,0.027121130635404,1,0
3628,2.0,I,0.3852778947604994,1,0
3629,2.0,I,0.4199638626818048,1,0
3630,2.0,I,0.05570991343796415,1,0
3631,2.0,I,0.4739519435223759,1,0
3632,2.0,I,0.00531640803412481,1,0
3633,2.0,I,0.8106244159087083,1,0
3634,2.0,I,0.10980135840307437,1,0
3635,2.0,I,0.027483887725083145,1,0
3636,2.0,I,0.35425180730931194,1,0
3637,2.0,I,0.3653776797520408,1,0
3638,2.0,I,0.4111185459503408,1,0
3639,2.0,I,0.16566716363576794,1,0
3640,2.0,I,0.06472624365701783,1,0
3641,2.0,I,0.3298418797694825,1,0
3642,2.0,I,0.6582126330713854,1,0
3643,2.0,I,0.0038697457149974015,1,0
3644,2.0,I,0.4705750504633199,1,0
3645,2.0,I,0.16056928226301725,1,0
3646,2.0,I,0.31155184923063906,1,0
3647,2.0,I,0.3783348683829281,1,0
3648,2.0,I,0.2055396558730911,1,0
3649,2.0,I,0.08679820533980276,1,0
3650,2.0,I,0.12333352200610916,1,0
3651,2.0,I,0.08729484336554437,1,0
3652,2.0,I,0.2721552639311358,1,0
3653,2.0,I,0.12975001786698842,1,0
3654,2.0,I,0.03332955612606004,1,0
3655,2.0,I,0.26548114732951955,1,0
3656,2.0,I,0.2408344231352417,1,0
3657,2.0,I,0.4551636286185274,1,0
3658,2.0,I,0.8931885261992037,1,0
3659,2.0,I,0.15441734419214126,1,0
3660,2.0,I,0.27913205902272514,1,0
3661,2.0,I,0.3841540522403878,1,0
3662,2.0,I,0.16659763070315606,1,0
3663,2.0,I,0.028199820266530336,1,0
3664,2.0,I,0.3074284374473405,1,0
3665,2.0,I,0.1425942669300816,1,0
3666,2.0,I,0.4806825843723043,1,0
3667,2.0,I,0.009895721135689373,1,0
3668,2.0,I,0.1826729076068902,1,0
3669,2.0,I,0.4507722224102085,1,0
3670,2.0,I,0.025012307266583544,1,0
3671,2.0,I,0.9644783823811208,1,0
3672,2.0,I,0.05198370716707085,1,0
3673,2.0,I,0.6611448148046105,1,0
3674,2.0,I,0.3638668319122021,1,0
3675,2.0,I,0.06790606646871511,1,0
3676,2.0,I,0.36587211662761576,1,0
3677,2.0,I,0.4036836840472746,1,0
3678,2.0,I,0.4605092404487456,1,0
3679,2.0,I,0.342511044385707,1,0
3680,2.0,I,0.4200275451741672,1,0
3681,3.0,I,0.06269666603006196,1,0
3682,3.0,I,0.14593238639557649,1,0
3683,3.0,I,0.25896547612906673,1,0
3684,3.0,I,0.5048404816675508,1,0
3685,3.0,I,0.15924673266469852,1,0
3686,3.0,I,0.09292337680884122,1,0
3687,3.0,I,0.2800693251587641,1,0
3688,3.0,I,0.011016178615493644,1,0
3689,3.0,I,0.1941671910143332,1,0
3690,3.0,I,0.05545953997234654,1,0
3691,3.0,I,0.2741049361798883,1,0
3692,3.0,I,0.1815905709593164,1,0
3693,3.0,I,0.4333327355042872,1,0
3694,3.0,I,0.03224758151254861,1,0
3695,3.0,I,0.047278411539923626,1,0
3696,3.0,I,0.4893727226109296,1,0
3697,3.0,I,0.2658685316005785,1,0
3698,3.0,I,0.09479992049496078,1,0
3699,3.0,I,0.2905217561881337,1,0
3700,3.0,I,0.14084400359671534,1,0
3701,3.0,I,0.1320813955920619,1,0
3702,3.0,I,0.004209100569180668,1,0
3703,3.0,I,0.08214654806747157,1,0
3704,3.0,I,0.04414341820340895,1,0
3705,3.0,I,0.17877814459934271,1,0
3706,3.0,I,0.4775621311494096,1,0
3707,3.0,I,0.6038668688994706,1,0
3708,3.0,I,0.12806019579035646,1,0
3709,3.0,I,0.1294668923066188,1,0
3710,3.0,I,0.30230147568253185,1,0
3711,3.0,I,0.4592275505824322,1,0
3712,3.0,I,0.1675793893637164,1,0
3713,3.0,I,0.12525886416864274,1,0
3714,3.0,I,0.2910397405258424,1,0
3715,3.0,I,0.4375045846127836,1,0
3716,3.0,I,0.2939697119655155,1,0
3717,3.0,I,0.19685186123571446,1,0
3718,3.0,I,0.06666668704083689,1,0
3719,3.0,I,0.7228481414860792,1,0
3720,3.0,I,0.5753266114167287,1,0
3721,3.0,I,0.004918194950893406,1,0
3722,3.0,I,0.26452119829080284,1,0
3723,3.0,I,0.6297070202340266,1,0
3724,3.0,I,0.4574013985976482,1,0
3725,3.0,I,0.5261318845462604,1,0
3726,3.0,I,0.4048543110701344,1,0
3727,3.0,I,0.2303627662634236,1,0
3728,3.0,I,0.09012328981211952,1,0
3729,3.0,I,0.29421166335339577,1,0
3730,3.0,I,0.4163774531989701,1,0
