,qn,fal,run,q1,q2,h,h_value
0,2.0,1.0,0.0,1.0,4.0,h_a,1.3905517120971562
1,2.0,1.0,1.0,1.0,4.0,h_a,-0.8457038754800369
2,2.0,1.0,2.0,1.0,4.0,h_a,-1.2074644605220648
3,2.0,1.0,3.0,1.0,4.0,h_a,0.1682276243633442
4,2.0,1.0,4.0,1.0,4.0,h_a,0.6851849177510022
5,2.0,1.0,5.0,1.0,4.0,h_a,2.972151411120311
6,2.0,1.0,6.0,1.0,4.0,h_a,-1.1409010871179803
7,2.0,1.0,7.0,1.0,4.0,h_a,0.40426142010091093
8,2.0,1.0,8.0,1.0,4.0,h_a,-0.9410248457522856
9,2.0,1.0,9.0,1.0,4.0,h_a,-1.6376413834674124
10,3.0,2.0,0.0,2.0,3.0,h_a,2.699127355585379
11,3.0,2.0,1.0,2.0,3.0,h_a,1.5308618050408567
12,3.0,2.0,2.0,2.0,3.0,h_a,-0.9277637182980962
13,3.0,2.0,3.0,2.0,3.0,h_a,0.10400771424041054
14,3.0,2.0,4.0,2.0,3.0,h_a,2.589930909908148
15,3.0,2.0,5.0,2.0,3.0,h_a,-0.05277319951063743
16,3.0,2.0,6.0,2.0,3.0,h_a,0.08852646616690989
17,3.0,2.0,7.0,2.0,3.0,h_a,1.0135425579473538
18,3.0,2.0,8.0,2.0,3.0,h_a,-1.0351048591909415
19,3.0,2.0,9.0,2.0,3.0,h_a,1.1411250943219644
20,4.0,2.0,0.0,2.0,4.0,h_a,-0.8912674201629842
21,4.0,2.0,1.0,2.0,4.0,h_a,0.7899135334738197
22,4.0,2.0,2.0,2.0,4.0,h_a,-0.5349614441965992
23,4.0,2.0,3.0,2.0,4.0,h_a,0.3002035761578165
24,4.0,2.0,4.0,2.0,4.0,h_a,0.5198478520428258
25,4.0,2.0,5.0,2.0,4.0,h_a,-1.5038064818132117
26,4.0,2.0,6.0,2.0,4.0,h_a,0.4461851665022863
27,4.0,2.0,7.0,2.0,4.0,h_a,2.0093116986376267
28,4.0,2.0,8.0,2.0,4.0,h_a,0.7923345733866395
29,4.0,2.0,9.0,2.0,4.0,h_a,-1.139572148252551
30,5.0,1.0,0.0,1.0,2.0,h_a,1.8972689575817714
31,5.0,1.0,1.0,1.0,2.0,h_a,-1.5983109335343193
32,5.0,1.0,2.0,1.0,2.0,h_a,1.029871122671088
33,5.0,1.0,3.0,1.0,2.0,h_a,-1.5064984594959105
34,5.0,1.0,4.0,1.0,2.0,h_a,0.29178054163292
35,5.0,1.0,5.0,1.0,2.0,h_a,-0.665615774484684
36,5.0,1.0,6.0,1.0,2.0,h_a,-0.0947868843133968
37,5.0,1.0,7.0,1.0,2.0,h_a,0.708116465009467
38,5.0,1.0,8.0,1.0,2.0,h_a,-0.958697149580369
39,5.0,1.0,9.0,1.0,2.0,h_a,1.8930942459965292
40,2.0,1.0,0.0,1.0,4.0,h_b,0.19926800798681774
41,2.0,1.0,1.0,1.0,4.0,h_b,0.5644969320740424
42,2.0,1.0,2.0,1.0,4.0,h_b,-0.3614540097822427
43,2.0,1.0,3.0,1.0,4.0,h_b,1.5728586128364181
44,2.0,1.0,4.0,1.0,4.0,h_b,-1.1467089514989424
45,2.0,1.0,5.0,1.0,4.0,h_b,1.8225883692941252
46,2.0,1.0,6.0,1.0,4.0,h_b,-0.2579863259193977
47,2.0,1.0,7.0,1.0,4.0,h_b,-0.2249396811879332
48,2.0,1.0,8.0,1.0,4.0,h_b,1.0645584786555742
49,2.0,1.0,9.0,1.0,4.0,h_b,-3.3176218143929646
50,3.0,2.0,0.0,2.0,3.0,h_b,-0.40046109556864495
51,3.0,2.0,1.0,2.0,3.0,h_b,-1.6296145439348804
52,3.0,2.0,2.0,2.0,3.0,h_b,1.5427048797829068
53,3.0,2.0,3.0,2.0,3.0,h_b,0.30333754910820593
54,3.0,2.0,4.0,2.0,3.0,h_b,0.08978498822857925
55,3.0,2.0,5.0,2.0,3.0,h_b,-0.18190219512803543
56,3.0,2.0,6.0,2.0,3.0,h_b,2.0049571305315115
57,3.0,2.0,7.0,2.0,3.0,h_b,2.681246126263042
58,3.0,2.0,8.0,2.0,3.0,h_b,0.32303682917160487
59,3.0,2.0,9.0,2.0,3.0,h_b,-0.7529630155577034
60,4.0,2.0,0.0,2.0,4.0,h_b,0.1909112660753518
61,4.0,2.0,1.0,2.0,4.0,h_b,-0.17584608953561762
62,4.0,2.0,2.0,2.0,4.0,h_b,0.8083380346148216
63,4.0,2.0,3.0,2.0,4.0,h_b,-0.8051229074381415
64,4.0,2.0,4.0,2.0,4.0,h_b,0.5491657011631448
65,4.0,2.0,5.0,2.0,4.0,h_b,0.1973031245394464
66,4.0,2.0,6.0,2.0,4.0,h_b,-1.3539208618073828
67,4.0,2.0,7.0,2.0,4.0,h_b,5.16913548923017
68,4.0,2.0,8.0,2.0,4.0,h_b,0.11626560321531393
69,4.0,2.0,9.0,2.0,4.0,h_b,3.035517071415299
70,5.0,1.0,0.0,1.0,2.0,h_b,-0.7066085137560292
71,5.0,1.0,1.0,1.0,2.0,h_b,1.8055334741935212
72,5.0,1.0,2.0,1.0,2.0,h_b,1.437250228518479
73,5.0,1.0,3.0,1.0,2.0,h_b,-1.3164235068709085
74,5.0,1.0,4.0,1.0,2.0,h_b,-0.25726324883118257
75,5.0,1.0,5.0,1.0,2.0,h_b,1.1716870469426122
76,5.0,1.0,6.0,1.0,2.0,h_b,-1.3140163387143189
77,5.0,1.0,7.0,1.0,2.0,h_b,-0.5703929964135137
78,5.0,1.0,8.0,1.0,2.0,h_b,0.7508908018655731
79,5.0,1.0,9.0,1.0,2.0,h_b,-1.0993727591648734
80,2.0,1.0,0.0,1.0,4.0,h_c,0.8686229735280557
81,2.0,1.0,1.0,1.0,4.0,h_c,-0.3989201806085374
82,2.0,1.0,2.0,1.0,4.0,h_c,-2.136854183716804
83,2.0,1.0,3.0,1.0,4.0,h_c,-0.7366099907143366
84,2.0,1.0,4.0,1.0,4.0,h_c,-1.2167818900814658
85,2.0,1.0,5.0,1.0,4.0,h_c,1.1626134211686519
86,2.0,1.0,6.0,1.0,4.0,h_c,1.5716449589083508
87,2.0,1.0,7.0,1.0,4.0,h_c,2.14244810677142
88,2.0,1.0,8.0,1.0,4.0,h_c,-0.32060845922899267
89,2.0,1.0,9.0,1.0,4.0,h_c,1.1006228605800756
90,3.0,2.0,0.0,2.0,3.0,h_c,0.9569448092085808
91,3.0,2.0,1.0,2.0,3.0,h_c,1.36299113887684
92,3.0,2.0,2.0,2.0,3.0,h_c,1.8382120570096494
93,3.0,2.0,3.0,2.0,3.0,h_c,-0.24954156829759533
94,3.0,2.0,4.0,2.0,3.0,h_c,1.1142497084994532
95,3.0,2.0,5.0,2.0,3.0,h_c,-0.5074712023120426
96,3.0,2.0,6.0,2.0,3.0,h_c,-0.2554157429678699
97,3.0,2.0,7.0,2.0,3.0,h_c,-0.8703314325591885
98,3.0,2.0,8.0,2.0,3.0,h_c,-0.1396188046371624
99,3.0,2.0,9.0,2.0,3.0,h_c,1.0251398862126024
100,4.0,2.0,0.0,2.0,4.0,h_c,-0.3346203922315715
101,4.0,2.0,1.0,2.0,4.0,h_c,-1.9576757268923026
102,4.0,2.0,2.0,2.0,4.0,h_c,0.5129401153908917
103,4.0,2.0,3.0,2.0,4.0,h_c,-0.8974095446739578
104,4.0,2.0,4.0,2.0,4.0,h_c,1.6710273409019867
105,4.0,2.0,5.0,2.0,4.0,h_c,-0.39298555299934035
106,4.0,2.0,6.0,2.0,4.0,h_c,0.5535757012802326
107,4.0,2.0,7.0,2.0,4.0,h_c,-0.7649380697924313
108,4.0,2.0,8.0,2.0,4.0,h_c,-0.016677256664885332
109,4.0,2.0,9.0,2.0,4.0,h_c,-0.5069015745615104
110,5.0,1.0,0.0,1.0,2.0,h_c,-0.928310505903397
111,5.0,1.0,1.0,1.0,2.0,h_c,1.4947060131184777
112,5.0,1.0,2.0,1.0,2.0,h_c,0.4857940891800266
113,5.0,1.0,3.0,1.0,2.0,h_c,-0.8227135631871706
114,5.0,1.0,4.0,1.0,2.0,h_c,1.1903290012596761
115,5.0,1.0,5.0,1.0,2.0,h_c,-0.9686450313422045
116,5.0,1.0,6.0,1.0,2.0,h_c,0.34643948430976385
117,5.0,1.0,7.0,1.0,2.0,h_c,-1.0014831773295754
118,5.0,1.0,8.0,1.0,2.0,h_c,-1.1074819742445352
119,5.0,1.0,9.0,1.0,2.0,h_c,-0.41130369816369716
120,2.0,1.0,0.0,1.0,4.0,h_d,1.1877026876469856
121,2.0,1.0,1.0,1.0,4.0,h_d,-0.2427280234637606
122,2.0,1.0,2.0,1.0,4.0,h_d,0.2949958619854887
