,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder
0,0.0,95183688.0,0.0,0.0,1.0,2.0,0.73,0.93,0.78,,1.0,0.050000000000000044,0.0,,0.4806420830658009,0.3251285107266726,0.8831760866327847,0123
1,0.0,95183688.0,1.0,1.0,3.0,4.0,0.79,0.21,0.32,,1.0,0.11000000000000001,0.0,0.4419538640666335,0.08238864489154796,0.6912950840484156,0.565685424949238,2301
2,0.0,95183688.0,2.0,5.0,1.0,2.0,0.29,0.36,0.38,,1.0,0.09000000000000002,0.0,0.7382894513632182,0.23208673712695937,0.14513591028949313,0.6164414002968976,0123
3,0.0,95183688.0,3.0,4.0,2.0,4.0,0.85,0.83,0.9,,2.0,-0.050000000000000044,0.0,,-0.015430608368017129,0.35475779984298583,0.9490826811975439,1302
4,0.0,95183688.0,4.0,3.0,2.0,3.0,0.71,0.29,0.34,,2.0,0.36999999999999994,0.0,,-0.4300602181949076,0.24837318324981705,0.9432643455314813,1203
5,0.0,95183688.0,5.0,2.0,1.0,4.0,0.33,0.75,0.67,,1.0,0.34,0.0,0.4061479669529887,0.4062095942043439,-0.00613143672364902,0.8185352771872451,0312
6,0.0,95183688.0,6.0,6.0,1.0,3.0,0.78,0.15,0.38,,2.0,0.4,0.0,,-0.7012770421745136,0.519985267697965,0.7290143319817146,0213
7,0.0,95183688.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
9,1.0,42134751.0,0.0,0.0,1.0,2.0,0.28,0.59,0.5,,1.0,0.21999999999999997,0.0,0.5954239447650371,0.3791712679334739,0.04122469616824076,0.7071067811865476,0123
10,1.0,42134751.0,1.0,1.0,3.0,4.0,0.41,0.2,0.2,,1.0,0.0,0.0,0.7454016998920123,0.18524193653371795,0.4583249183137837,0.4472135954999579,2301
11,1.0,42134751.0,2.0,5.0,1.0,2.0,0.59,0.33,0.42,,1.0,0.08999999999999997,0.0,0.6008102853904035,0.16432977062281007,0.4382039792792355,0.648074069840786,0123
12,1.0,42134751.0,3.0,4.0,2.0,4.0,0.33,0.66,0.38,,2.0,0.28,0.0,0.2857122108673776,0.33650868884400964,-0.08120470410447456,0.8936085445680706,1302
13,1.0,42134751.0,4.0,2.0,1.0,4.0,0.58,0.36,0.38,,1.0,0.020000000000000018,0.0,0.5949715625688241,0.23208673712695937,0.4605915611300031,0.6164414002968976,0312
14,1.0,42134751.0,5.0,3.0,2.0,3.0,0.41,0.31,0.35,,2.0,0.06,0.0,0.6951147777000692,-0.11813772641256048,0.23729428919477857,0.668244224618963,1203
15,1.0,42134751.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
16,1.0,42134751.0,7.0,7.0,1.0,3.0,0.56,0.23,0.28,,2.0,0.28,0.0,0.35544359235236056,-0.3800675261133095,0.23828214067864129,0.820018383747195,0213
18,2.0,43182876.0,0.0,0.0,1.0,2.0,0.65,0.89,0.75,,1.0,0.09999999999999998,0.0,,0.4681410026281947,0.27415002131469945,0.8660254037844386,0123
19,2.0,43182876.0,1.0,1.0,3.0,4.0,0.75,0.4,0.5,,1.0,0.09999999999999998,0.0,0.44380386617990275,0.18732040981336828,0.5176380902050414,0.7071067811865476,2301
20,2.0,43182876.0,2.0,5.0,1.0,2.0,0.7,0.8,0.71,,1.0,0.010000000000000009,0.0,,0.42229608674971597,0.3406009793022874,0.8426149773176358,0123
21,2.0,43182876.0,3.0,2.0,1.0,4.0,0.51,0.79,0.78,,1.0,0.27,0.0,0.25337423605940557,0.3738044223648689,0.12677440720342315,0.8831760866327847,0312
22,2.0,43182876.0,4.0,3.0,2.0,3.0,0.6,0.4,0.5,,2.0,0.09999999999999998,0.0,0.5148417553395187,-0.2010179240104163,0.3303176803916731,0.765127434618659,1203
23,2.0,43182876.0,5.0,4.0,2.0,4.0,0.8,0.65,0.8,,2.0,0.0,0.0,0.2908475227939244,-0.12473563896821371,0.40901791338382876,0.855893150683523,1302
24,2.0,43182876.0,6.0,6.0,1.0,3.0,0.6,0.3,0.32,,2.0,0.27999999999999997,0.0,0.24982356206219306,-0.32084844576884874,0.2051992278717878,0.8902458871385444,0213
25,2.0,43182876.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
27,3.0,20246478.0,0.0,0.0,1.0,2.0,0.84,1.0,0.89,,1.0,0.050000000000000044,0.0,,0.4708154491674348,0.3527500264759116,0.9433981132056604,0123
28,3.0,20246478.0,1.0,1.0,3.0,4.0,0.61,0.46,0.58,,1.0,0.11999999999999994,0.0,0.5131645515865464,0.19758899407615316,0.3429587911323353,0.7615773105863908,2301
29,3.0,20246478.0,2.0,5.0,1.0,2.0,1.0,0.72,0.98,,1.0,0.26,0.0,,0.21005050633883338,0.42426406871192857,0.9899494936611666,0123
30,3.0,20246478.0,3.0,3.0,2.0,3.0,0.59,0.66,0.74,,2.0,-0.07999999999999996,0.0,0.5695613553248162,0.06263448018758422,0.3410539132675283,0.7452241358524929,1203
31,3.0,20246478.0,4.0,4.0,2.0,4.0,0.93,0.8,0.6,,2.0,0.33000000000000007,0.0,,-0.09890710563123384,0.07672972243252207,1.2870884472660633,1302
32,3.0,20246478.0,5.0,2.0,1.0,4.0,0.94,0.99,0.64,,1.0,-0.29999999999999993,0.0,,0.6071247279470289,0.5711309200802088,0.8,0312
