,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder,check_pA,check_pA_B,check_pB
0,0.0,95183688.0,0.0,0.0,1.0,2.0,0.73,0.93,0.78,,1.0,0.05000000000000005,0.0,0.039144172300347536,0.47059697169666853,-0.04246199077952094,0.8804563809997605,123.0,0.7299200024807339,0.7802334118093536,0.9999939694402422
1,0.0,95183688.0,1.0,1.0,3.0,4.0,0.79,0.21,0.32,,1.0,0.11,0.0,0.6437031743223409,-0.10551302118006954,0.40017766885694006,0.6437166590207213,2301.0,0.7900129051436907,0.3200011113030447,0.2099996940379811
2,0.0,95183688.0,2.0,5.0,1.0,2.0,0.29,0.36,0.38,,1.0,0.09000000000000002,0.0,0.8145570077858365,-0.01382808921715744,-0.0644999415576195,0.5763209639787068,123.0,0.2900595337663142,0.3799517818167968,0.3599591038272994
3,0.0,95183688.0,3.0,4.0,2.0,4.0,0.85,0.83,0.9,,2.0,-0.05000000000000005,0.0,0.3603362721470308,0.06607258940959507,0.08876877599935579,0.9262355996906222,1302.0,0.8499869996103767,0.9000113465802473,0.8299896376602779
4,0.0,95183688.0,4.0,3.0,2.0,3.0,0.71,0.29,0.34,,2.0,0.37,0.0,0.6881892300592578,-0.22728324639459813,0.033086395554466415,0.6882180024924198,1203.0,0.7100721137003321,0.3400725290579165,0.28997001486296997
5,0.0,95183688.0,5.0,2.0,1.0,4.0,0.33,0.75,0.67,,1.0,0.34,0.0,-0.5348621622741238,0.7987925177522982,-0.07870106425256725,0.26393016242507883,312.0,0.33000030647035017,0.6699989092013285,0.7499999993568134
6,0.0,95183688.0,6.0,6.0,1.0,3.0,0.78,0.15,0.38,,2.0,0.4,0.0,0.3992462501850888,-0.1523516628857356,0.827985219912771,-0.3630869368005397,213.0,0.7800082282916446,0.37997613897184496,0.1499496805807938
7,0.0,95183688.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
9,1.0,42134751.0,0.0,0.0,1.0,2.0,0.28,0.59,0.5,,1.0,0.22,0.0,0.7421502965701741,0.05901046000605279,-0.15077210993880713,0.6503833297430782,123.0,0.27999976542262317,0.49999591250854264,0.5899866359365145
10,1.0,42134751.0,1.0,1.0,3.0,4.0,0.41,0.2,0.2,,1.0,0.0,0.0,0.8382847948661316,1.5534654891863982e-06,0.18644474945074588,0.5123641121360252,2301.0,0.4100000974187296,0.19999910266893883,0.20000055800447172
